"No.","Component No.","Variable name","Question/indicator description","Component","Unit","Data Type","Reliability guidance"
"18","2","q_18_2","Climate Change and Resilience - GHG emission reduction measures","GHG emission reduction measures","Score 1-7","Numeric",""
"18","3","q_18_3","Climate Change and Resilience - Resource recovery measures","Resource recovery measures","Score 1-7","Numeric",""
"18","","q_18_meta","Source/Methodology","","Text","Text",""
"18","","q_18_comments","Comments","","Text","Text",""
"18","","q_18_reliability","Reliability score","","Score 0-1","Numeric","Enter the reliability score (0.00, 0.33, 0.66, or 1.00) based on the guidance."
"19","1","q_19_1","Extreme Weather Events - Heavy rainfall/flood resilience","Heavy rainfall/flood resilience","Score 1-7","Numeric","Score based on assessment criteria (e.g., infrastructure robustness, contingency plans, operational adaptability). 7=Highly resilient. 1=Highly vulnerable."
"19","2","q_19_2","Extreme Weather Events - Drought resilience","Drought resilience","Score 1-7","Numeric",""
"19","3","q_19_3","Extreme Weather Events - High wind speed resilience","High wind speed resilience","Score 1-7","Numeric",""
"19","4","q_19_4","Extreme Weather Events - Heat wave resilience","Heat wave resilience","Score 1-7","Numeric",""
"19","","q_19_meta","Source/Methodology","","Text","Text",""
"19","","q_19_comments","Comments","","Text","Text",""
"19","","q_19_reliability","Reliability score","","Score 0-1","Numeric","Enter the reliability score (0.00, 0.33, 0.66, or 1.00) based on the guidance."
"20","1","q_20_1","Chronic Climate Change Impacts - Sea level rise resilience","Sea level rise resilience","Score 1-7","Numeric","Score based on assessment criteria (e.g., vulnerability assessment, adaptation measures for infrastructure/operations). 7=Well adapted/planned. 1=Highly vulnerable, no plans."
"20","2","q_20_2","Chronic Climate Change Impacts - Changes in precipitation patterns","Changes in precipitation patterns","Score 1-7","Numeric",""
"20","3","q_20_3","Chronic Climate Change Impacts - Changes in temperature patterns","Changes in temperature patterns","Score 1-7","Numeric",""
"20","4","q_20_4","Chronic Climate Change Impacts - Water scarcity resilience","Water scarcity resilience","Score 1-7","Numeric",""
"20","","q_20_meta","Source/Methodology","","Text","Text",""
"20","","q_20_comments","Comments","","Text","Text",""
"20","","q_20_reliability","Reliability score","","Score 0-1","Numeric","Enter the reliability score (0.00, 0.33, 0.66, or 1.00) based on the guidance."
"21","1","q_21_1","Circular Economy - Waste hierarchy implementation","Waste hierarchy implementation","Score 1-7","Numeric","Score based on assessment criteria (e.g., prioritization of prevention/reuse/recycling over disposal, policy support). 7=Strong implementation. 1=Little/no implementation."
"21","2","q_21_2","Circular Economy - Circular business models","Circular business models","Score 1-7","Numeric",""
"21","3","q_21_3","Circular Economy - Product design & material choice","Product design & material choice","Score 1-7","Numeric",""
"21","","q_21_meta","Source/Methodology","","Text","Text",""
"21","","q_21_comments","Comments","","Text","Text",""
"21","","q_21_reliability","Reliability score","","Score 0-1","Numeric","Enter the reliability score (0.00, 0.33, 0.66, or 1.00) based on the guidance."
